time,frequency
0,50.02
0.5,50.01
1,49.98
1.5,49.96
2,49.95
2.5,49.94
3,49.93
3.5,49.92
4,49.91
4.5,49.91
5,49.91
5.5,49.9
6,49.91
6.5,49.9
7,49.9
7.5,49.91
8,49.92
8.5,49.92
9,49.92
9.5,49.92
10,49.94
10.5,49.95
11,49.97
11.5,49.98
12,49.99
12.5,50.01
13,50.04
13.5,50.04
14,50.06
14.5,50.06
15,50.06
15.5,50.05
16,50.05
16.5,50.04
17,50.03
17.5,50.03
18,50.02
18.5,50.02
19,50.03
19.5,50.04
20,50.04
20.5,50.03
21,50.02
21.5,50.02
22,50.02
22.5,50.02
23,50.02
23.5,50.02
24,50.02
24.5,50.02
25,50.02
25.5,50.02
26,50.03
26.5,50.02
27,50.03
27.5,50.05
28,50.05
28.5,50.05
29,50.07
29.5,50.06
30,50.07
30.5,50.07
31,50.08
31.5,50.08
32,50.07
32.5,50.08
33,50.08
33.5,50.08
34,50.07
34.5,50.06
35,50.05
35.5,50.03
36,50.01
36.5,50
37,50
37.5,50.02
38,50.03
38.5,50.04
39,50.04
39.5,50.04
40,50.04
40.5,50.05
41,50.05
41.5,50.05
42,50.06
42.5,50.05
43,50.06
43.5,50.06
44,50.06
44.5,50.05
45,50.05
45.5,50.05
46,50.05
46.5,50.05
47,50.05
47.5,50.04
48,50.04
48.5,50.04
49,50.05
49.5,50.07
50,50.09
50.5,50.09
51,50.07
51.5,50.08
52,50.09
52.5,50.07
53,50.07
53.5,50.08
54,50.09
54.5,50.09
55,50.08
55.5,50.1
56,50.11
56.5,50.1
57,50.1
57.5,50.11
58,50.11
58.5,50.12
59,50.12
59.5,50.13
60,50.14
60.5,50.14
61,50.15
61.5,50.16
62,50.15
62.5,50.13
63,50.13
63.5,50.12
64,50.12
64.5,50.11
65,50.11
65.5,50.12
66,50.11
66.5,50.1
67,50.09
67.5,50.07
68,50.08
68.5,50.09
69,50.09
69.5,50.08
70,50.09
70.5,50.1
71,50.1
71.5,50.09
72,50.09
72.5,50.09
73,50.08
73.5,50.07
74,50.09
74.5,50.09
75,50.09
75.5,50.08
76,50.06
76.5,50.06
77,50.05
77.5,50.05
78,50.05
78.5,50.05
79,50.05
79.5,50.07
80,50.07
80.5,50.08
81,50.07
81.5,50.06
82,50.05
82.5,50.05
83,50.05
83.5,50.05
84,50.05
84.5,50.06
85,50.06
85.5,50.07
86,50.08
86.5,50.09
87,50.07
87.5,50.06
88,50.05
88.5,50.04
89,50.03
89.5,50.04
90,50.03
90.5,50.04
91,50.04
91.5,50.04
92,50.04
92.5,50.05
93,50.05
93.5,50.04
94,50.04
94.5,50.04
95,50.05
95.5,50.05
96,50.05
96.5,50.04
97,50.03
97.5,50.03
98,50.05
98.5,50.07
99,50.08
99.5,50.09
100,50.08
100.5,50.07
101,50.07
101.5,50.07
102,50.06
102.5,50.04
103,50.03
103.5,50.03
104,50.02
104.5,50.03
105,50.03
105.5,50.04
106,50.03
106.5,50.02
107,50.03
107.5,50.03
108,50.02
108.5,49.99
109,50
109.5,50
110,50
110.5,50
111,50
111.5,50.01
112,50.03
112.5,50.03
113,50.03
113.5,50.04
114,50.04
114.5,50.06
115,50.06
115.5,50.06
116,50.06
116.5,50.05
117,50.06
117.5,50.07
118,50.07
118.5,50.07
119,50.07
119.5,50.06
120,50.05
120.5,50.06
121,50.04
121.5,50.02
122,50.02
122.5,50.01
123,50.02
123.5,50.03
124,50.02
124.5,50.02
125,50
125.5,49.99
126,49.99
126.5,50.02
127,50.02
127.5,50.02
128,50.04
128.5,50.03
129,50.03
