time,frequency
1582730797.486,50.0148
1582730857.4865,50.03535
1582730917.4865,49.9584
1582730977.4865,50.0597
1582731037.4865,49.99695
1582731097.486,50.01955
1582731157.486,50.00105
1582731217.4865,49.9607
1582731277.4865,50.0308
1582731337.486,49.99435
1582731397.4865,49.98495
1582731457.486,50.0504
1582731517.486,50.0286
1582731577.486,49.9878
1582731637.4865,50.03345
1582731697.4865,49.9838
1582731757.486,49.9652
1582731817.486,50.0238
1582731877.486,49.97885
1582731937.486,49.9684
1582731997.486,50.0146
1582732057.486,49.9624
1582732117.486,49.98485
1582732177.486,50.0237
1582732237.486,49.968
1582732297.4865,49.98915
1582732357.486,50.00285
1582732417.486,50.0197
1582732477.4885,49.99345
1582732537.486,49.99925
1582732597.486,49.95465
1582732657.4865,50.05905
1582732717.486,50.0307
1582732777.486,49.966
1582732837.486,49.97325
1582732897.486,50.0426
1582732957.486,50.0147
1582733017.4865,49.95175
1582733077.486,49.96975
1582733137.486,50.0506
1582733197.486,49.97505
1582733257.486,49.98815
1582733317.4865,50.01775
1582733377.486,49.94655
1582733437.486,50.0174
1582733497.486,49.97325
1582733557.486,49.9987
1582733617.4865,49.998
1582733677.486,49.949
1582733737.4865,50.0076
1582733797.486,49.9787
1582733857.487,50.0395
1582733917.486,49.95825
1582733977.486,50.0037
1582734037.4865,50.0092
1582734097.486,49.973
1582734157.486,49.99245
1582734217.486,49.98145
1582734277.486,49.9704
1582734337.486,49.9807
1582734397.486,49.97785
1582734457.486,50.011
1582734517.486,49.9581
1582734577.486,50.0195
1582734637.4865,49.9285
1582734697.486,50.0318
1582734757.486,49.98595
1582734817.486,49.9861
1582734877.486,50.0638
1582734937.486,49.9683
1582734997.4865,50.0329
1582735057.486,49.9858
1582735117.486,50.0027
1582735177.4865,49.9547
1582735237.4865,50.0205
1582735297.486,50.01235
1582735357.486,50.0219
1582735417.4865,49.9572
1582735477.4865,50.0003
1582735537.4865,49.99795
1582735597.486,50.01605
1582735657.486,50.0042
1582735717.486,49.99465
1582735777.486,49.9754
1582735837.486,49.9651
1582735897.486,49.9842
1582735957.486,49.98865
1582736017.486,49.97955
1582736077.4865,49.9989
1582736137.486,50.02405
1582736197.4865,49.9813
1582736257.486,49.984
1582736317.487,50.0349
1582736377.486,49.96965
1582736437.486,50.05065
1582736497.486,49.9642
1582736557.4865,49.9833
1582736617.4865,49.9752
1582736677.486,50.0077
1582736737.486,50.02195
1582736797.486,50.032
1582736857.486,49.9858
1582736917.4865,49.993
1582736977.486,50.0141
1582737037.486,50.0065
1582737097.486,49.93735
1582737157.486,50.0734
1582737217.486,49.96865
1582737277.486,50.0035
1582737337.486,49.98445
1582737397.486,49.9902
1582737457.486,50.0028
1582737517.486,49.9182
1582737577.486,50.00855
1582737637.4865,49.9949
1582737697.486,49.92575
1582737757.487,50.0366
1582737817.486,49.94255
1582737877.486,50.0335
1582737937.486,50.00895
1582737997.486,49.9646
1582738057.486,50.03965
1582738117.486,49.92
1582738177.486,50.03515
1582738237.4865,50.0014
1582738297.486,49.94275
1582738357.486,49.9608
1582738417.486,50.0197
1582738477.4865,49.9845
1582738537.486,49.9889
1582738597.4865,49.9611
1582738657.486,50.01995
1582738717.486,49.9693
1582738777.486,50.042
1582738837.4865,49.9426
1582738897.4865,49.98595
1582738957.487,50.02735
1582739017.486,49.92965
1582739077.486,50.05285
1582739137.486,49.9701
1582739197.4865,50.0004
1582739257.486,50.0499
1582739317.4865,49.97355
1582739377.486,50.0006
1582739437.486,49.9727
1582739497.486,50.006
1582739557.4865,49.9544
1582739617.486,50.03295
1582739677.486,49.9774
1582739737.486,50.01755
1582739797.4865,50.0049
1582739857.486,49.97095
1582739917.486,50.023
1582739977.486,50.0401
1582740037.486,49.9135
1582740097.486,50.0129
1582740157.486,50.0258
1582740217.486,49.9661
1582740277.486,49.99995
1582740337.486,50.0006
1582740397.486,49.98885
1582740457.486,49.9947
1582740517.486,50.03185
1582740577.4865,49.9693
1582740637.486,50.01965
1582740697.486,49.9936
1582740757.486,50.00665
1582740817.4865,49.971
1582740877.486,49.9894
1582740937.486,50.0253
1582740997.486,49.9889
1582741057.486,49.97635
1582741117.486,49.9747
1582741177.4865,50.0463
1582741237.486,49.9903
1582741297.486,49.9259
1582741357.486,50.05225
1582741417.486,49.9848
1582741477.4865,50
1582741537.4865,49.95725
1582741597.486,50.0151
1582741657.486,49.96395
1582741717.486,49.987
1582741777.4865,49.9711
1582741837.486,49.9784
1582741897.487,49.9851
1582741957.486,50.0442
1582742017.486,49.9922
1582742077.486,50.01035
1582742137.4865,50.02415
1582742197.486,50.0006
1582742257.486,49.98475
1582742317.486,50.00495
1582742377.486,49.9916
1582742437.486,49.97485
1582742497.486,50.02995
1582742557.4865,49.9597
1582742617.486,50.0187
1582742677.486,50.0051
1582742737.486,49.9952
1582742797.486,49.9924
1582742857.486,50.0077
1582742917.486,50.05275
1582742977.486,50.02605
1582743037.4865,49.95275
1582743097.486,50.0213
1582743157.486,50.0293
1582743217.4865,49.9604
1582743277.486,50.05005
1582743337.486,49.9465
1582743397.487,50.04185
1582743457.486,49.9922
1582743517.486,50.0279
1582743577.4865,50.0352
1582743637.486,49.9501
1582743697.486,50.0021
1582743757.486,50.00455
1582743817.4865,49.97235
1582743877.486,50.0463
1582743937.486,49.9931
1582743997.4865,50.00235
1582744057.486,50.00165
1582744117.486,50.0291
1582744177.4865,49.95775
1582744237.4865,50.0179
1582744297.486,49.99915
1582744357.486,50.0313
1582744417.487,49.9632
1582744477.486,50.04645
1582744537.487,49.9426
1582744597.486,49.9856
1582744657.486,49.9895
1582744717.486,49.9743
1582744777.486,49.9956
1582744837.486,49.9982
1582744897.486,49.9625
1582744957.486,50.06445
1582745017.486,50.01315
1582745077.486,49.99315
1582745137.486,50.0288
1582745197.4865,50.02885
1582745257.486,49.99245
1582745317.486,49.9961
1582745377.486,50.04095
1582745437.486,49.94745
1582745497.486,50.04715
1582745557.4865,49.9614
1582745617.486,49.99265
1582745677.4865,50.0074
1582745737.486,49.9959
1582745797.4865,50.0307
1582745857.486,49.9902
1582745917.486,50.0189
1582745977.4865,50.0319
1582746037.486,49.9691
1582746097.486,50.01565
1582746157.4865,50.01755
1582746217.486,50.03395
1582746277.486,49.9458
1582746337.486,50.0477
1582746397.486,49.95165
1582746457.486,50.03095
1582746517.486,49.9646
1582746577.486,50.01195
1582746637.486,50.0349
1582746697.4865,50.0228
1582746757.486,49.9931
1582746817.486,49.98285
1582746877.486,50.0146
1582746937.486,50.0486
1582746997.4865,49.9957
1582747057.486,50.0292
1582747117.486,49.9815
1582747177.486,50.0021
1582747237.4865,50.0031
1582747297.486,50.0588
1582747357.486,50.01355
1582747417.4865,50.03475
1582747477.486,49.99345
1582747537.486,49.9959
1582747597.486,50.0076
1582747657.486,50.036
1582747717.486,50.0255
1582747777.4865,50.01095
1582747837.486,50.0132
1582747897.486,50.02585
1582747957.486,50.06025
1582748017.4865,49.9921
1582748077.486,49.9594
1582748137.486,50.01495
1582748197.4865,50.0116
1582748257.4885,49.95935
1582748317.486,50.0507
1582748377.486,49.98995
1582748437.4865,49.95585
1582748497.486,50.016
1582748557.486,49.9825
1582748617.486,50.00065
1582748677.4865,50.01865
1582748737.4865,49.99325
1582748797.486,49.9876
1582748857.486,49.9875
1582748917.4865,49.9959
1582748977.486,50.02385
